CVEGEO	pop
0901200011636	4273
0901200011640	7425
0901200011655	1380
090120001173A	1732
0901200011744	4101
0901200011759	6
0901200011890	434
0901200011903	1255
0901200011918	2803
0901200011922	1080
0901200011937	1884
0901200011941	1424
0901200011956	3097
0901200011960	2219
0901200011975	4266
090120001198A	1589
0901200011994	3188
0901200012009	7701
0901200012013	8368
0901200012047	5793
0901200012051	4700
0901200012066	3434
0901200012070	1962
0901200012085	2529
0901200012102	2730
0901200012121	13974
0901200012136	4691
0901200012140	6515
0901200012155	4856
090120001216A	3015
0901200012174	1993
0901200012189	5279
0901200012193	5723
0901200012206	4752
0901200012210	4455
0901200012225	6664
090120001223A	7153
0901200012244	2254
0901200012259	1778
0901200012263	6035
0901200012278	3299
0901200012282	5014
0901200012333	264
0901200012348	638
0901200012352	915
0901200012367	22
0901200012371	17
0901200012386	153
0901200012441	10407
0901200012456	2522
0901200192460	1532
0901200192475	1665
0901200261528	7452
0901200261532	6957
090120026166A	1406
0901200261674	6579
0901200261689	3496
0901200261693	238
0901200261706	1747
0901200261710	785
0901200262297	1773
0901200262314	71
0901200262329	357
0901200262390	65
0901200262403	2553
0901200262418	2997
0901200262437	505
090120026248A	301
0901200271763	3975
0901200271778	5838
0901200271782	6970
0901200271797	9291
090120027180A	1369
0901200272028	4151
0901200272032	4369
090120027230A	1924
0901200272422	3200
0901201351227	4058
0901300010014	6567
0901300010029	2146
0901300010033	2991
0901300010052	202
0901300010067	8457
0901300010086	2233
0901300010090	7010
0901300010122	3234
0901300010137	3296
0901300010160	4044
0901300010175	566
090130001018A	1228
0901300010194	766
0901300010207	2878
0901300010211	4509
0901300010226	1917
0901300010230	2926
0901300010245	2286
090130001025A	3457
0901300010279	4570
0901300010283	5623
0901300010298	10318
0901300010300	880
0901300010315	2045
090130001032A	13
0901300010334	6075
0901300010353	5085
0901300010368	11731
0901300010372	5104
0901300010387	6531
0901300010391	2513
0901300010404	2374
0901300010419	4481
0901300010423	939
0901300010438	1537
0901300010442	4369
0901300010461	6559
0901300010480	6753
0901300010495	536
0901300010508	6807
0901300010527	6453
0901300010550	3162
0901300010565	2947
090130001057A	269
0901300010599	5132
0901300010601	5831
090130001064A	3126
0901300010654	3725
0901300010669	3864
0901300010688	4942
0901300010692	11447
0901300010705	913
090130001071A	691
0901300010724	934
0901300010739	2840
0901300010743	6722
0901300010758	4419
0901300010762	1530
0901300010777	2101
0901300010809	877
0901300010813	4180
0901300010828	3434
0901300010832	754
0901300010847	1243
0901300010851	2606
0901300010866	2156
0901300010870	2133
0901300010885	1161
090130001089A	867
0901300010917	1860
0901300011027	5389
0901300011031	8257
0901300011046	2097
0901300011050	4156
0901300011065	4032
090130001107A	3253
0901300011084	2950
0901300011099	2830
0901300011101	4781
0901300011116	2848
0901300011120	2499
0901300011135	4026
090130001114A	6318
0901300011154	7460
0901300011169	11635
0901300011173	5729
0901300011188	6177
0901300011192	9781
0901300011205	698
090130001121A	7212
0901300011224	6729
0901300011239	4240
0901300011243	46
0901300011262	2986
0901300011277	55
0901300011296	2160
0901300011309	1210
0901300011313	4863
0901300011328	8341
0901300011332	5578
0901300011347	1530
0901300011366	5812
0901300011370	4391
0901300011385	2068
090130001139A	1719
0901300011402	3227
0901300011417	2212
0901300011421	1247
0901300011436	2325
0901300011440	4557
0901300011455	2154
090130001146A	2687
0901300011474	1442
0901300011489	648
0901300011493	1896
0901300011506	840
0901300011510	424
0901300011525	1151
0901300011544	107
0901300011559	2475
0901300011563	323
0901300011578	35
0901400010011	3973
0901400010026	4161
0901400010030	5366
0901400010045	3480
090140001005A	5914
0901400010064	4064
0901400010079	6309
0901400010083	4930
0901400010098	6213
0901400010100	1983
0901400010115	5163
090140001012A	5644
0901400010134	5075
0901400010149	3398
0901400010153	2901
0901400010168	1670
0901400010172	1828
0901400010187	6913
0901400010191	4213
0901400010204	6314
0901400010219	4029
0901400010223	1127
0901400010238	6776
0901400010242	4514
0901400010257	7766
0901400010261	8246
0901400010276	4686
0901400010280	2417
0901400010295	2208
0901400010308	3867
0901400010312	2167
0901400010327	1777
0901400010331	2619
0901400010346	5180
0901400010350	3701
0901400010365	1729
090140001037A	2546
0901400010384	4103
0901400010399	4090
0901400010401	5533
0901400010416	3011
0901400010420	5609
0901400010435	5570
090140001044A	4368
0901400010454	1940
0901400010469	7095
0901400010473	1915
0901400010488	10448
0901400010492	3322
0901400010505	3014
090140001051A	2793
0901400010524	2763
0901400010539	2679
0901400010543	5681
0901400010558	2425
0901400010562	3819
0901400010577	6059
0901400010581	521
0901400010596	3156
0901400010609	4320
0901400010613	5414
0901400010628	5347
0901400010632	6933
0901400010647	5658
0901400010651	6444
0901400010666	3479
0901400010670	6796
0901400010685	4576
090140001069A	1735
0901400010702	4122
0901400010717	1190
0901400010721	4471
0901400010736	5045
0901400010740	3523
0901400010755	5093
090140001076A	4076
0901400010774	7049
0901400010789	2843
0901400010793	4670
0901400010806	5486
0901400010810	6987
0901400010825	284
090140001083A	3012
0901400010844	5577
0901400010859	5794
0901400010863	7925
0901400010878	5681
0901400010882	3795
0901400010897	1771
090140001090A	2649
0901400010914	2250
0901400010929	3731
0901400010933	3060
0901400010948	3045
0901400010952	3854
0901400010967	705
0901400010971	3943
0901400010986	5256
0901400010990	5697
0901400011005	7611
090140001101A	4333
0901400011024	4142
0901500010019	4263
0901500010023	4902
0901500010038	2800
0901500010042	2930
0901500010057	24
0901500010061	1327
0901500010076	6626
0901500010080	7933
0901500010095	3670
0901500010108	3456
0901500010112	2227
0901500010127	8402
0901500010131	2585
0901500010146	1384
0901500010150	1556
0901500010165	5259
090150001017A	5239
0901500010184	6961
0901500010199	490
0901500010201	1612
0901500010216	1285
0901500010220	832
0901500010235	1280
090150001024A	1076
